word1,word2,similarity
fungus-n,moss-n,31
interior-n,staircase-n,31
bride-n,photographer-n,31
dirt-n,racing-n,31
frozen-j,raspberry-n,31
boy-n,school-n,31
brown-j,violet-n,31
play-v,stadium-n,31
chapel-n,graveyard-n,31
dew-n,frost-n,31
dark-j,grey-j,31
desert-n,mountain-n,31
berry-n,purple-j,31
collage-n,illustration-n,31
cold-j,wet-j,31
burger-n,cooking-n,31
day-n,evening-n,31
jean-n,shirt-n,31
blue-j,white-j,31
giraffe-n,lion-n,31
dandelion-n,foliage-n,31
bird-n,reptile-n,31
bathroom-n,floor-n,31
love-n,smile-n,31
small-j,village-n,31
hat-n,jean-n,31
bright-j,orange-j,31
bud-n,fruit-n,31
fall-v,tear-n,31
food-n,fruit-n,31
red-j,white-j,31
collage-n,exhibition-n,31
orange-j,raspberry-n,31
hat-n,outfit-n,31
hockey-n,play-v,31
berry-n,eat-v,31
bag-n,pillow-n,31
bread-n,salad-n,31
bathroom-n,ceiling-n,31
bacon-n,burger-n,31
ceramic-j,floor-n,31
fun-n,relax-v,31
dawn-n,misty-j,31
hot-j,weather-n,31
pepper-n,potato-n,31
pink-j,red-j,31
interior-n,roof-n,31
cute-j,kid-n,31
vine-n,wine-n,31
skyline-n,tower-n,31
pet-n,terrier-n,31
girl-n,sexy-j,31
downtown-j,subway-n,31
jump-n,leg-n,31
dessert-n,salad-n,31
shirt-n,sock-n,31
exhibition-n,painting-n,31
boardwalk-n,trail-n,31
apple-n,blossom-n,31
hawk-n,mallard-n,31
hand-n,stand-v,31
flower-n,yellow-j,31
floor-n,porch-n,31
drip-v,wash-v,31
foliage-n,ivy-n,31
cliff-n,waterfall-n,30
foliage-n,fruit-n,30
orange-j,white-j,30
station-n,underground-j,30
foliage-n,yellow-j,30
dude-n,friend-n,30
forest-n,tropical-j,30
rain-n,sun-n,30
belly-n,dance-n,30
man-n,sexy-j,30
colorful-j,outfit-n,30
reptile-n,rodent-n,30
burger-n,salad-n,30
fruit-n,sweet-j,30
flamingo-n,mallard-n,30
garage-n,kitchen-n,30
roof-n,stair-n,30
club-n,hockey-n,30
house-n,staircase-n,30
feel-v,kiss-n,30
bright-j,red-j,30
lake-n,valley-n,30
door-n,patio-n,30
apartment-n,kitchen-n,30
grey-j,yellow-j,30
chicken-n,salad-n,30
punk-n,rock-n,30
bloom-n,twig-n,30
blonde-j,wig-n,30
cold-j,water-n,30
blur-v,lens-n,30
door-n,porch-n,30
foliage-n,orchid-n,30
door-n,interior-n,30
female-j,makeup-n,30
cloud-n,sunlight-n,30
beach-n,pebble-n,30
bright-j,yellow-j,30
bed-n,floor-n,30
cherry-n,dessert-n,30
misty-j,sunrise-n,30
dark-j,shade-n,30
railroad-n,underground-j,30
cafe-n,donut-n,30
musician-n,punk-n,30
memorial-n,people-n,30
stop-v,time-n,30
glitter-v,star-n,30
fun-n,idea-n,30
band-n,uniform-j,30
insect-n,plant-n,30
bedroom-n,kitchen-n,30
harbour-n,scenery-n,30
collage-n,painting-n,30
mist-n,sky-n,30
dawn-n,sunshine-n,30
costume-n,shirt-n,30
mud-n,water-n,30
blossom-n,violet-n,30
fishing-n,shore-n,30
cloud-n,sunny-j,30
shade-n,sunlight-n,30
friend-n,smile-n,30
bacon-n,salad-n,30
pod-n,round-n,30
flower-n,fruit-n,30
abstract-j,museum-n,30
door-n,stair-n,30
foot-n,tall-j,30
cooking-n,fruit-n,30
burger-n,soup-n,30
match-n,play-v,30
cattle-n,goat-n,29
camera-n,theatre-n,29
flower-n,wild-j,29
lick-v,lip-n,29
lunch-n,tea-n,29
berry-n,dessert-n,29
downtown-j,shopping-n,29
kitchen-n,wash-v,29
petal-n,twig-n,29
happy-j,kid-n,29
amphibian-n,bird-n,29
cold-j,sunny-j,29
meat-n,soup-n,29
camel-n,desert-n,29
foliage-n,shade-n,29
restaurant-n,room-n,29
couple-n,family-n,29
bird-n,mammal-n,29
arch-n,porch-n,29
kitty-n,lick-v,29
blossom-n,ivy-n,29
grey-j,red-j,29
bright-j,pink-j,29
bay-n,cliff-n,29
door-n,staircase-n,29
chess-n,toy-n,29
gull-n,hummingbird-n,29
beauty-n,peacock-n,29
boardwalk-n,park-n,29
city-n,ruin-n,29
bay-n,swim-v,29
daisy-n,foliage-n,29
apartment-n,bathroom-n,29
flower-n,purple-j,29
hill-n,path-n,29
match-n,stadium-n,29
monument-n,ruin-n,29
dark-j,white-j,29
ancient-j,city-n,29
lick-v,puppy-n,29
metal-n,punk-n,29
hotel-n,relax-v,29
nut-n,sunflower-n,29
hot-j,wet-j,29
glass-n,vinyl-n,29
foliage-n,moss-n,29
coast-n,scenery-n,29
bacon-n,bread-n,29
brick-n,roof-n,29
wet-j,winter-n,29
dark-j,silhouette-n,29
bacon-n,dessert-n,29
floor-n,stair-n,29
day-n,lunch-n,29
line-n,lunch-n,29
room-n,sit-v,29
interior-n,outdoor-j,29
shirt-n,white-j,29
lick-v,paw-n,29
brown-j,pink-j,29
friend-n,fun-n,29
city-n,downtown-j,29
pool-n,relax-v,28
bird-n,dragonfly-n,28
bacon-n,tomato-n,28
dandelion-n,seed-n,28
purple-j,shade-n,28
bacon-n,pepper-n,28
dark-j,purple-j,28
door-n,floor-n,28
sidewalk-n,street-n,28
bacon-n,sandwich-n,28
petal-n,pink-j,28
colour-n,dark-j,28
brick-n,staircase-n,28
fog-n,sunny-j,28
valley-n,waterfall-n,28
rice-n,soup-n,28
patio-n,pool-n,28
patio-n,sit-v,28
river-n,scenery-n,28
beard-n,blonde-j,28
nest-n,stork-n,28
carrot-n,pepper-n,28
collage-n,paint-v,28
jump-n,swimming-n,28
chapel-n,gravestone-n,28
feel-v,smile-n,28
flag-n,stripe-n,28
harbour-n,town-n,28
guitar-n,punk-n,28
scenery-n,sunny-j,28
christmas-n,valentine-n,28
bloom-n,pink-j,28
bear-v,daughter-n,28
insect-n,rodent-n,28
bedroom-n,floor-n,28
stair-n,wall-n,28
chapel-n,ruin-n,28
beef-n,tomato-n,28
doodle-n,scratch-n,28
daffodil-n,purple-j,28
lake-n,scenery-n,28
roof-n,staircase-n,28
boy-n,live-v,28
chain-n,store-n,28
coast-n,hill-n,28
mushroom-n,pepper-n,28
porch-n,window-n,28
hot-j,water-n,28
sock-n,white-j,28
arch-n,bridge-n,28
dessert-n,raspberry-n,28
brick-n,ceiling-n,28
scenery-n,sunshine-n,28
city-n,square-j,28
stand-v,walk-v,28
evening-n,fun-n,28
happy-j,sexy-j,28
burger-n,mac-n,28
paint-v,sculpture-n,28
misty-j,morning-n,28
frost-n,rain-n,28
color-n,shade-n,28
bacon-n,potato-n,28
patio-n,stair-n,28
hot-j,wash-v,27
button-n,sticker-n,27
cute-j,happy-j,27
happy-j,tear-n,27
pepper-n,soup-n,27
alley-n,racing-n,27
smile-n,tear-n,27
train-n,underground-j,27
blonde-j,curl-v,27
flamingo-n,mammal-n,27
porch-n,staircase-n,27
ford-n,river-n,27
room-n,stair-n,27
face-n,glitter-v,27
nest-n,reptile-n,27
sailing-n,sink-v,27
floor-n,kitchen-n,27
cottage-n,garden-n,27
day-n,weather-n,27
amphibian-n,insect-n,27
eat-v,sweet-j,27
pregnant-j,round-n,27
brown-j,feather-n,27
bed-n,sit-v,27
bike-n,rally-n,27
apartment-n,patio-n,27
cooking-n,dessert-n,27
lily-n,purple-j,27
kitchen-n,patio-n,27
line-n,subway-n,27
breakfast-n,room-n,27
gull-n,reptile-n,27
dirty-j,rusty-j,27
bath-n,bedroom-n,27
cottage-n,patio-n,27
misty-j,sunshine-n,27
band-n,metal-n,27
skyline-n,tall-j,27
berry-n,foliage-n,27
mushroom-n,salad-n,27
abandon-v,soldier-n,27
bath-n,kitchen-n,27
sit-v,stop-v,27
outdoor-j,swimming-n,27
ruin-n,stone-n,27
building-n,sidewalk-n,27
fall-v,stop-v,27
cloud-n,ripple-n,27
cliff-n,scenery-n,27
salad-n,strawberry-n,27
graveyard-n,ruin-n,27
pepper-n,tomato-n,27
line-n,metro-n,27
bird-n,wild-j,27
hill-n,road-n,27
cliff-n,harbour-n,27
clothes-n,sexy-j,27
baseball-n,club-n,27
petal-n,purple-j,27
collar-n,skirt-n,27
cottage-n,sleep-v,27
match-n,round-n,27
kitchen-n,stair-n,27
church-n,graveyard-n,27
lighthouse-n,wall-n,27
kitchen-n,sit-v,27
dawn-n,spring-n,27
hot-j,spring-n,27
flower-n,weather-n,27
child-n,fun-n,27
evening-n,walk-v,27
cliff-n,sea-n,27
cold-j,mist-n,27
station-n,theatre-n,27
dusk-n,misty-j,27
friend-n,lady-n,27
mountain-n,sea-n,26
escalator-n,metro-n,26
live-v,old-j,26
friend-n,guy-n,26
theatre-n,tv-n,26
ceiling-n,kitchen-n,26
nature-n,snowman-n,26
coin-n,ticket-n,26
plane-n,sailing-n,26
sea-n,sink-v,26
bench-n,boardwalk-n,26
happy-j,kiss-n,26
bath-n,bed-n,26
restaurant-n,shopping-n,26
canine-j,run-v,26
lunch-n,sit-v,26
bus-n,rail-n,26
frog-n,tropical-j,26
bathroom-n,bed-n,26
goose-n,wolf-n,26
happy-j,mom-n,26
black-j,paint-v,26
glitter-v,scenery-n,26
beef-n,salad-n,26
construction-n,downtown-j,26
parking-n,underground-j,26
park-n,skate-n,26
apartment-n,pool-n,26
flood-n,line-n,26
marble-n,wall-n,26
hummingbird-n,tropical-j,26
palace-n,ruin-n,26
panda-n,pig-n,26
frost-n,shade-n,26
cherry-n,sweet-j,26
carrot-n,fruit-n,26
brick-n,skyscraper-n,26
collage-n,sculpture-n,26
fruit-n,potato-n,26
grey-j,stripe-n,26
patio-n,room-n,26
fun-n,sexy-j,26
blue-j,fabric-n,26
guy-n,sexy-j,26
guitar-n,track-n,26
misty-j,scenery-n,26
kitchen-n,porch-n,26
sweet-j,wine-n,26
cute-j,guy-n,26
bedroom-n,relax-v,26
hummingbird-n,insect-n,26
hill-n,horizon-n,26
beef-n,pepper-n,26
hand-n,leave-v,26
beef-n,deer-n,26
frog-n,whale-n,26
bright-j,shade-n,26
cooking-n,frozen-j,26
festival-n,gate-n,26
interior-n,object-n,25
bathroom-n,sit-v,25
smoke-n,sun-n,25
crochet-n,jewelry-n,25
architecture-n,skyline-n,25
cold-j,puddle-n,25
blur-v,eye-n,25
guy-n,sleep-v,25
baseball-n,shirt-n,25
amphibian-n,pelican-n,25
shade-n,violet-n,25
green-j,shade-n,25
evening-n,sunny-j,25
blue-j,stripe-n,25
patio-n,staircase-n,25
puddle-n,street-n,25
eye-n,smile-n,25
canine-j,lick-v,25
outfit-n,punk-n,25
dragonfly-n,reptile-n,25
mist-n,sunshine-n,25
castle-n,ruin-n,25
angel-n,sculpture-n,25
bud-n,ivy-n,25
chicken-n,mammal-n,25
family-n,live-v,25
carrot-n,sunflower-n,25
interior-n,stair-n,25
craft-n,game-n,25
valley-n,village-n,25
brown-j,gull-n,25
decoration-n,tulip-n,25
bud-n,pink-j,25
dessert-n,orange-j,25
mammal-n,reptile-n,25
cute-j,sexy-j,25
relax-v,scenery-n,25
blue-j,bright-j,25
cold-j,misty-j,25
floor-n,skyscraper-n,25
coast-n,valley-n,25
ceiling-n,stair-n,25
couple-n,live-v,25
red-j,stripe-n,25
sing-v,write-v,25
hang-v,stand-v,25
meat-n,pepper-n,25
insect-n,mammal-n,25
track-n,vinyl-n,25
show-n,sketch-n,25
clothes-n,cute-j,25
harbour-n,sink-v,25
dude-n,sexy-j,25
blue-j,shade-n,25
garden-n,house-n,25
crane-n,wild-j,25
feel-v,tear-n,24
bar-n,relax-v,24
breakfast-n,sleep-v,24
shore-n,valley-n,24
amphibian-n,wild-j,24
door-n,kitchen-n,24
sexy-j,smile-n,24
stripe-n,white-j,24
family-n,male-n,24
hummingbird-n,mammal-n,24
amphibian-n,dragonfly-n,24
rice-n,yellow-j,24
happy-j,time-n,24
line-n,street-n,24
black-j,skirt-n,24
porch-n,wall-n,24
drop-v,hang-v,24
mist-n,sunny-j,24
pepper-n,strawberry-n,24
ruin-n,skyline-n,24
nude-j,painting-n,24
diner-n,patio-n,24
bridge-n,ford-n,24
blonde-j,cute-j,24
morning-n,weather-n,24
dress-n,match-n,24
fungus-n,rust-n,24
stripe-n,yellow-j,24
chapel-n,tower-n,24
feather-n,wild-j,24
cake-n,christmas-n,24
bright-j,raspberry-n,24
harbor-n,sink-v,24
barn-n,owl-n,24
daisy-n,purple-j,24
frost-n,grass-n,24
blue-j,shirt-n,24
post-v,view-n,24
hawk-n,mammal-n,24
garden-n,kitchen-n,24
bright-j,purple-j,24
cute-j,haircut-n,24
hawk-n,reptile-n,24
fun-n,lego-n,24
snow-n,sunshine-n,24
bloom-n,purple-j,24
family-n,female-j,24
orange-j,salad-n,24
architecture-n,shade-n,24
bedroom-n,stair-n,24
hill-n,town-n,24
bread-n,dessert-n,24
cathedral-n,step-n,24
bedroom-n,staircase-n,24
shore-n,town-n,24
bench-n,game-n,24
mist-n,sunlight-n,24
fountain-n,marble-n,24
makeup-n,reflection-n,24
cocktail-n,relax-v,24
sketch-n,texture-n,24
deer-n,elephant-n,24
bed-n,ceiling-n,24
evening-n,relax-v,24
berry-n,ivy-n,24
ruin-n,village-n,24
cafe-n,street-n,24
palm-n,twig-n,24
frost-n,spring-n,24
daisy-n,pink-j,24
dirty-j,hand-n,24
arch-n,wall-n,24
porch-n,room-n,24
cottage-n,scenery-n,24
fruit-n,meat-n,24
cute-j,smile-n,24
bath-n,floor-n,24
old-j,town-n,24
skirt-n,white-j,24
glitter-v,misty-j,23
fire-n,sand-n,23
sit-v,staircase-n,23
blue-j,dark-j,23
nail-n,rusty-j,23
ceiling-n,marble-n,23
basket-n,dinner-n,23
card-n,party-n,23
bright-j,foliage-n,23
cold-j,drip-v,23
lamb-n,snow-n,23
cafe-n,relax-v,23
cathedral-n,ruin-n,23
hill-n,river-n,23
friend-n,night-n,23
orange-j,shade-n,23
live-v,male-n,23
coffee-n,lunch-n,23
key-j,palace-n,23
shop-n,show-n,23
burger-n,dessert-n,23
morning-n,relax-v,23
craft-n,note-n,23
dessert-n,sandwich-n,23
dirty-j,feel-v,23
beer-n,patio-n,23
eat-v,frozen-j,23
brick-n,porch-n,23
ceiling-n,door-n,23
deer-n,insect-n,23
happy-j,home-n,23
rock-n,track-n,23
footprint-n,tile-n,23
exhibition-n,work-n,23
city-n,lamp-n,23
cute-j,lady-n,23
shade-n,white-j,23
beauty-n,orchid-n,23
hummingbird-n,rodent-n,23
haircut-n,sexy-j,23
arch-n,concrete-j,23
airport-n,asphalt-n,23
air-n,dew-n,23
pregnancy-n,sit-v,23
frost-n,plant-n,23
forest-n,hummingbird-n,23
kiss-n,smile-n,23
eat-v,rabbit-n,23
autumn-n,shade-n,23
guy-n,kid-n,23
fall-v,love-n,23
oak-n,rose-n,23
city-n,firework-n,23
lamb-n,mother-n,23
cone-n,diamond-n,23
concrete-j,school-n,23
scenery-n,sketch-n,23
face-n,guy-n,23
scenery-n,shore-n,23
daisy-n,gravestone-n,23
field-n,skyscraper-n,23
leather-n,rope-n,23
sink-v,sunset-n,23
amphibian-n,brown-j,23
evening-n,misty-j,23
miniature-j,painting-n,23
dessert-n,wine-n,23
foliage-n,tall-j,23
evening-n,lunch-n,23
dark-j,orange-j,23
dessert-n,lunch-n,23
misty-j,mountain-n,23
boy-n,hand-n,23
dessert-n,soup-n,23
blue-j,skirt-n,22
dark-j,pink-j,22
interior-n,patio-n,22
sunny-j,wet-j,22
camera-n,painting-n,22
automobile-n,police-n,22
boardwalk-n,evening-n,22
guy-n,smile-n,22
sit-v,time-n,22
pink-j,skirt-n,22
ivy-n,wall-n,22
rock-n,sing-v,22
action-n,truck-n,22
hill-n,shore-n,22
happy-j,morning-n,22
demolition-n,skyscraper-n,22
happy-j,idea-n,22
hummingbird-n,reptile-n,22
breakfast-n,sit-v,22
light-n,sleep-v,22
cute-j,feel-v,22
bead-n,gold-n,22
clothes-n,haircut-n,22
evening-n,sunshine-n,22
foliage-n,violet-n,22
cathedral-n,interior-n,22
post-v,quote-n,22
mammal-n,pelican-n,22
escalator-n,underground-j,22
band-n,outfit-n,22
church-n,interior-n,22
market-n,sushi-n,22
grey-j,rusty-j,22
arch-n,brick-n,22
feel-v,sleep-v,22
insect-n,twig-n,22
colorful-j,toy-n,22
cherry-n,vine-n,22
dessert-n,noodle-n,22
black-j,pencil-n,22
band-n,track-n,22
happy-j,sleep-v,22
skate-n,vehicle-n,22
dessert-n,rice-n,22
movie-n,shopping-n,22
shade-n,twig-n,22
frost-n,sunny-j,22
misty-j,sky-n,22
misty-j,sunset-n,22
black-j,stripe-n,22
church-n,porch-n,22
morning-n,smile-n,22
autumn-n,frost-n,22
bath-n,patio-n,22
person-n,stair-n,22
pumpkin-n,valley-n,22
dark-j,pod-n,22
child-n,live-v,22
orchid-n,patio-n,22
shade-n,yellow-j,21
dirty-j,drip-v,21
key-j,stone-n,21
people-n,stair-n,21
bathroom-n,staircase-n,21
dome-n,interior-n,21
breakfast-n,hotel-n,21
bike-n,patio-n,21
female-j,old-j,21
glitter-v,smile-n,21
downtown-j,shore-n,21
fruit-n,sunflower-n,21
feline-j,reptile-n,21
run-v,train-n,21
shopping-n,street-n,21
cat-n,garden-n,21
cute-j,mom-n,21
steel-n,wing-n,21
guy-n,walk-v,21
horse-n,work-n,21
chipmunk-n,wolf-n,21
red-j,shade-n,21
school-n,traffic-n,21
dance-n,hotel-n,21
sunny-j,winter-n,21
ceramic-j,colour-n,21
house-n,poster-n,21
colorful-j,frame-n,21
sweet-j,vine-n,21
barn-n,food-n,21
field-n,squirrel-n,21
brown-j,hawk-n,21
city-n,small-j,21
dark-j,violet-n,21
brick-n,interior-n,21
couple-n,female-j,21
cliff-n,sand-n,21
key-j,motor-n,21
square-j,town-n,21
misty-j,sunny-j,21
jean-n,wash-v,21
foot-n,piano-n,21
model-n,toe-n,21
crystal-n,spiral-n,21
cliff-n,shore-n,21
lake-n,whale-n,21
shore-n,waterfall-n,21
foliage-n,pink-j,21
hawk-n,insect-n,21
curl-v,whisker-n,21
dessert-n,pepper-n,21
dinner-n,room-n,21
art-n,drive-n,21
drop-v,time-n,21
hang-v,sit-v,21
skin-n,sunglasses-n,21
lunch-n,morning-n,21
drug-n,musician-n,21
redhead-n,rusty-j,21
live-v,race-n,21
fall-v,stand-v,21
cliff-n,fence-n,21
misty-j,snow-n,21
gasoline-n,town-n,21
decoration-n,twig-n,21
flower-n,shade-n,21
skin-n,skirt-n,21
feel-v,idea-n,21
ruin-n,town-n,21
bedroom-n,breakfast-n,21
lunch-n,relax-v,21
fountain-n,hill-n,20
couple-n,male-n,20
bathroom-n,patio-n,20
dusk-n,hummingbird-n,20
guitar-n,vinyl-n,20
bright-j,fruit-n,20
dead-j,hang-v,20
heart-n,wing-n,20
salad-n,sunflower-n,20
bedroom-n,patio-n,20
badge-n,metro-n,20
fun-n,time-n,20
dark-j,red-j,20
concrete-j,interior-n,20
cone-n,windmill-n,20
racing-n,shirt-n,20
mom-n,smile-n,20
object-n,scooter-n,20
cone-n,hill-n,20
breakfast-n,relax-v,20
friend-n,relax-v,20
fun-n,guy-n,20
black-j,bright-j,20
dancer-n,palace-n,20
frozen-j,salad-n,20
brown-j,hummingbird-n,20
escalator-n,railway-n,20
camel-n,outdoor-j,20
autumn-n,bud-n,20
male-n,old-j,20
hold-v,nest-n,20
cute-j,mammal-n,20
baseball-n,show-n,20
patio-n,spring-n,20
mammal-n,nest-n,20
cow-n,pregnancy-n,20
fun-n,night-n,20
game-n,rocket-n,20
downtown-j,ruin-n,20
makeup-n,people-n,20
interior-n,porch-n,20
bed-n,patio-n,20
relax-v,sunshine-n,20
dark-j,yellow-j,20
floor-n,sit-v,20
grave-n,number-n,20
mill-n,sunflower-n,20
farm-n,wind-n,20
cold-j,wash-v,20
drip-v,hot-j,20
idea-n,people-n,20
couple-n,old-j,20
food-n,gull-n,20
gate-n,hotel-n,20
glitter-v,night-n,20
cold-j,sun-n,20
chicken-n,pepper-n,20
salad-n,sweet-j,20
porch-n,stone-n,20
coffee-n,room-n,20
berry-n,bright-j,20
amphibian-n,hummingbird-n,20
flamingo-n,insect-n,20
club-n,shirt-n,20
porch-n,tower-n,20
skateboard-n,swimsuit-n,20
desert-n,road-n,20
kiss-n,tear-n,20
feather-n,grey-j,20
club-n,match-n,19
sit-v,sleep-v,19
chapel-n,porch-n,19
figure-n,spiral-n,19
bud-n,purple-j,19
bird-n,shade-n,19
blonde-j,dark-j,19
burger-n,frozen-j,19
chain-n,engine-n,19
bathroom-n,porch-n,19
country-n,work-n,19
leave-v,stop-v,19
desk-n,white-j,19
object-n,piano-n,19
can-n,mill-n,19
female-j,race-n,19
frost-n,sunshine-n,19
soup-n,sweet-j,19
black-j,seat-n,19
lion-n,pelican-n,19
graffito-n,interior-n,19
apartment-n,sleep-v,19
cold-j,summer-n,19
market-n,orange-j,19
guy-n,kiss-n,19
dirty-j,guy-n,19
arm-n,caterpillar-n,19
foliage-n,frost-n,19
gravestone-n,pattern-n,19
shop-n,summer-n,19
petal-n,shade-n,19
gull-n,mammal-n,19
cone-n,palm-n,19
makeup-n,town-n,19
gull-n,insect-n,19
dessert-n,meat-n,19
morning-n,sit-v,19
doll-n,new-j,19
butterfly-n,glitter-v,19
interior-n,skyscraper-n,19
market-n,white-j,19
cute-j,fun-n,19
night-n,sunny-j,19
bed-n,staircase-n,19
miniature-j,paint-v,19
bloom-n,glitter-v,19
evening-n,friend-n,19
city-n,mill-n,19
coast-n,downtown-j,18
dew-n,sunshine-n,18
dragonfly-n,underwater-j,18
star-n,storm-n,18
patio-n,wash-v,18
cold-j,ear-n,18
house-n,windmill-n,18
fly-v,toy-n,18
breakfast-n,evening-n,18
hang-v,rusty-j,18
dinner-n,relax-v,18
aircraft-n,door-n,18
porch-n,ruin-n,18
cop-n,dirty-j,18
cross-n,tower-n,18
city-n,old-j,18
cold-j,sunshine-n,18
dragon-n,metal-n,18
light-n,shed-v,18
hotel-n,library-n,18
feel-v,friend-n,18
parking-n,scenery-n,18
ruin-n,tower-n,18
abandon-v,railroad-n,18
bright-j,violet-n,18
couple-n,makeup-n,18
dude-n,smile-n,18
dirty-j,rabbit-n,18
smile-n,walk-v,18
autumn-n,daffodil-n,18
hotel-n,sand-n,18
crystal-n,dirt-n,18
reptile-n,stork-n,18
coast-n,sink-v,18
dark-j,rusty-j,18
band-n,vinyl-n,18
parrot-n,reptile-n,18
steel-n,town-n,18
architecture-n,table-n,18
bedroom-n,porch-n,18
aquarium-n,seagull-n,18
butterfly-n,transformer-n,18
feel-v,sit-v,18
landscape-n,stadium-n,18
lunch-n,walk-v,18
church-n,cookie-n,18
stripe-n,violet-n,18
origami-n,white-j,18
bag-n,flag-n,18
escalator-n,station-n,18
dawn-n,snow-n,18
green-j,lantern-n,18
painting-n,work-n,18
pigeon-n,round-n,18
haircut-n,smile-n,18
coast-n,sketch-n,18
colorful-j,duck-n,18
man-n,stand-v,18
demolition-n,interior-n,18
pelican-n,toe-n,18
garage-n,garden-n,18
brown-j,insect-n,18
family-n,old-j,18
brown-j,pelican-n,18
fountain-n,parade-n,18
fungus-n,insect-n,18
female-j,live-v,18
frost-n,hot-j,18
handle-v,shop-n,17
happy-j,stand-v,17
collection-n,work-n,17
pepper-n,sunflower-n,17
graphic-j,roof-n,17
play-v,spiral-n,17
cute-j,fashion-n,17
ball-n,square-j,17
red-j,tea-n,17
port-n,sweet-j,17
lunch-n,sunny-j,17
night-n,stop-v,17
muscle-n,nature-n,17
guy-n,sit-v,17
game-n,scooter-n,17
interior-n,toy-n,17
gate-n,pebble-n,17
blue-j,sock-n,17
bedroom-n,pool-n,17
graveyard-n,house-n,17
foot-n,friend-n,17
cute-j,idea-n,17
bed-n,picture-n,17
glass-n,road-n,17
bed-n,kitchen-n,17
dusk-n,gull-n,17
bicycle-n,green-j,17
shade-n,whale-n,17
lab-n,spider-n,17
bar-n,stair-n,17
hang-v,time-n,17
reptile-n,swim-v,17
happy-j,night-n,17
dude-n,fun-n,17
branch-n,tea-n,17
club-n,play-v,17
garbage-n,lunch-n,17
interior-n,tower-n,17
breakfast-n,people-n,17
couple-n,race-n,17
bay-n,porch-n,17
country-n,library-n,17
black-j,cigarette-n,17
handle-v,tram-n,17
feel-v,stair-n,17
oak-n,petal-n,17
lake-n,town-n,17
play-v,sign-v,17
old-j,race-n,17
parade-n,store-n,17
jellyfish-n,texture-n,17
curl-v,leaf-n,17
hummingbird-n,moss-n,17
book-n,gold-n,17
desk-n,match-n,17
handle-v,lighting-n,17
frozen-j,soup-n,17
dude-n,sit-v,17
amphibian-n,stork-n,16
asphalt-n,crane-n,16
bright-j,grey-j,16
flight-n,jaguar-n,16
happy-j,toe-n,16
bathroom-n,stair-n,16
bay-n,curve-n,16
foot-n,train-n,16
snow-n,sunny-j,16
blue-j,happy-j,16
sunshine-n,wet-j,16
clown-n,jellyfish-n,16
family-n,town-n,16
pattern-n,time-n,16
cherry-n,peel-n,16
bakery-n,vehicle-n,16
cross-n,post-v,16
garbage-n,underground-j,16
bible-n,leaf-n,16
nature-n,new-j,16
cute-j,dude-n,16
curve-n,dance-n,16
autumn-n,hat-n,16
fabric-n,handle-v,16
arm-n,white-j,16
feel-v,fun-n,16
bridge-n,ceramic-j,16
ruin-n,valley-n,16
castle-n,patio-n,16
button-n,grey-j,16
club-n,sign-v,16
feather-n,insect-n,16
hotel-n,oak-n,16
alley-n,punk-n,16
design-n,muscle-n,16
circle-n,snake-n,16
auto-n,quote-n,16
post-v,white-j,16
animal-n,clown-n,16
dinner-n,sleep-v,16
office-n,woman-n,16
line-n,underground-j,16
metro-n,television-n,16
waterfall-n,wood-n,16
relax-v,restaurant-n,16
bed-n,stair-n,16
dude-n,husky-n,16
demolition-n,skyline-n,16
ceiling-n,patio-n,16
flight-n,museum-n,16
paper-n,tattoo-n,16
action-n,subway-n,16
grave-n,shore-n,16
sunshine-n,winter-n,16
ford-n,wall-n,16
band-n,stocking-n,16
dirty-j,tear-n,16
leg-n,stripe-n,16
family-n,square-j,16
eye-n,sky-n,16
dinner-n,morning-n,16
apartment-n,beach-n,16
bus-n,crane-n,16
aquarium-n,coin-n,16
path-n,sunflower-n,16
red-j,uniform-j,16
band-n,ear-n,16
kitchen-n,staircase-n,16
glitter-v,vintage-j,16
gold-n,texture-n,16
air-n,carnival-n,16
guy-n,stand-v,16
bacon-n,sweet-j,16
abstract-j,feel-v,16
band-n,bride-n,16
mom-n,sit-v,15
foliage-n,purple-j,15
husky-n,painting-n,15
evening-n,surfer-n,15
postcard-n,texture-n,15
breakfast-n,night-n,15
makeup-n,skull-n,15
guy-n,tear-n,15
hamster-n,lock-v,15
chess-n,family-n,15
fun-n,haircut-n,15
bud-n,shade-n,15
ad-n,track-n,15
dead-j,pigeon-n,15
chipmunk-n,illustration-n,15
cold-j,silver-n,15
insect-n,number-n,15
bar-n,boat-n,15
restaurant-n,scenery-n,15
hair-n,stencil-n,15
guy-n,idea-n,15
gravestone-n,silhouette-n,15
bright-j,mist-n,15
coin-n,musician-n,15
arm-n,bicycle-n,15
hang-v,morning-n,15
demolition-n,tall-j,15
bedroom-n,diner-n,15
candle-n,line-n,15
bar-n,ship-n,15
club-n,cone-n,15
art-n,christmas-n,15
travel-n,wood-n,15
foot-n,outdoor-j,15
hang-v,leave-v,15
rusty-j,shade-n,15
abstract-j,moon-n,15
auto-n,round-n,15
mist-n,temple-n,15
stripe-n,urban-j,15
smile-n,view-n,15
ripple-n,shadow-n,15
dirty-j,fun-n,15
haircut-n,hang-v,15
brick-n,skyline-n,15
bathroom-n,sleep-v,15
school-n,tear-n,15
cute-j,friend-n,15
action-n,dress-n,15
cow-n,station-n,15
play-v,sailing-n,15
fungus-n,pattern-n,15
